speaker,stage,paragraph,source_file,Sound: Ja/Nein?,Lautstärkeniveau (0;1-5)
MANGU.,Derwisch kommt.,"Sprich nicht davon. Er liebt was er nicht sollte, Dem Jünger Muhameds geziemt es nicht Sich zu vermählen, wider Pflicht und Recht, Und daß er zögert ist des Busens Stimme Die tadelnd ihn vor dem Verbrechen warnt. Doch still davon, wir sollen nur gehorchen, Und unsre Meinung kommt hier viel zu spät.",guenderode-udohla.xml,nein,
DERWISCH.,Der Sultan kommt. Alle werfen sich nieder.,"Schon viele Jahre herrschen die Mongolen In Hindostan, und waren stets bemüht Zu Männern dieses weiche Volk zu bilden, Allein unmünd'ge Kinder bleiben sie.",guenderode-udohla.xml,nein,
SULTAN.,Mangu und Derwisch ab.,Genug davon. Ich habe euch vernommen Entfernet euch. Sino! Bleibe du bei mir.,guenderode-udohla.xml,nein,
SULTAN.,Garten des Pallastes.,"Ich hatte sie fünf Jahre nicht gesehen Und wie erstaunt ich, als nach dieser Zeit Der Aga sie in meine Arme führte, Verändert war sie, doch ein lieber Zug Erinnerte mich an der Kindheit Tage An der Verwandschaft inniges Verstehn. Ich gab mich hin dem seligen Gefühle, Doch sie bewahrte sich mit banger Scheu. Mein Lieben wollte ihre Furcht besiegen, Doch meine Liebe überwand mich selbst. Was soll ich nun? Ich kann ihr nicht entsagen, Und sie besitzen? Ach! ich wag es nicht. Mein Busen gleicht dem ungestümen Meere, Ob Reue mich, ob Sehnsucht mich verzehre, Ob ich sie fliehe, oder mir vermähle, Verderben bringt mir was ich auch erwähle.",guenderode-udohla.xml,nein,
NERISSA.,Sultan und Sino kommen.,"Du irrest, doch mit stillem trüben Sehnen Denk ich der frohen, freien Jugend-Zeit, Als ich mit meinem guten Vater wallte Durch Hindostan, vermummt und unbekannt. Bald folgten wir des Ganges Silberfluthen Von Tibets Bergen bis herab zum Meer, Dann traten wir in Asiens prächtge Städte, Die vor uns lagen in des Abends Glanz. Die Flüchtlinge durchwandelten die Gassen, Musik und Tanz und Lust war überall; So bunt und froh beweglich war mein Leben, Ein rascher Strohm, der sich aus Wolken gießt Und jetzt! gedenk ich jener schönen Stunden Schwebt die Erinnrung aus der freien Welt Herüber mir in diese enge Mauern So nenn ich jammervoll mein prächtig Loos. Ich sehne mich zurück zu Nacht und zu Gefahren Zu jener heimathlosen Pilgerschaft. In diesen Mauern trauren alle Blumen, Die zarten Halmen flüstern es sich zu Wie eingeschlossen Sehnsucht sie verzehre; Ja selbst die starke Palme senkt ihr Haupt, Und welk und matt ist um mich alles Leben, Wenn keiner ihrer heilgen Stimme lauschet, Weil ihren Dienst ein rauh Geschlecht verschmäht.",guenderode-udohla.xml,nein,
NERISSA.,Mangu kommt.,"Weh mir und dir! Ich fürchte deine Liebe, Und schrecklich ist dein Haß wie deine Gunst. Was soll ich thun? Auf welche Rettung sinnen? Ist keine Hülfe, ist kein Rath mehr da?",guenderode-udohla.xml,nein,
SULTAN.,"Sino tritt in den Hinter-Grund und winkt, Udohla erscheint und wirft sich vor dem
  Sultan nieder.","Ihm ist vergönnt, sogleich zu uns zu kommen, Ruf ihn hierher, er rede jetzt vor mir.",guenderode-udohla.xml,nein,
UDOHLA,sagt aufstehend zum Sultan.,"Ich heiße Achmed, bin dein Knecht, gebohren Zu Hyderabad, Selims Schwester-Sohn.",guenderode-udohla.xml,ja,
UDOHLA.,Er reicht ihm ein Papier.,Der Nabob hieß mich dir dies Schreiben bringen Und Gruß und Unterwerfung seinem Herrn.,guenderode-udohla.xml,nein,
SULTAN.,Nachdem er gelesen.,"Du bist ein guter Bote. Erbitte einen Lohn; es werde dir Was dir zu bitten, mir zu geben ziemet. Drum wähle frei sogleich was dir gefällt.",guenderode-udohla.xml,nein,
UDOHLA.,Kniend.,"Als ich von Hyderabad hergezogen Fiel im Gebirg ich in der Räuber Hand. Verlohren wär ich sicherlich gewesen, Allein es rettete ein Jüngling mich, Und als ich bat ihn einen Lohn zu wählen, Sprach er: »Erscheinst du vor dem Herrn der Welt Das meines Vaters Leben er verschont Bahadars, der im Aufruhr ist gefangen«. So sprach der Jüngling.",guenderode-udohla.xml,nein,
SULTAN.,Ab mit Mangu.,"Komm Mangu! Laß uns zur Prinzessin eilen, Und Sino du! erklär ihm was geschah.",guenderode-udohla.xml,nein,
UDOHLA.,Er zieht den Dolch; Sino hält ihn ab.,"Nun wohl! Es sey, der Sultan möge leben Ihn darf das Licht der Sonne noch erfreun; Doch mir geziemet besser, nun zu sterben. Des Vaters Geist winkt mich zu sich hinab, Den Niegekannten will er einmal schauen, Ihn einmal drücken an das Vaterherz. O süße Freude drunten bei den Todten! Komm, steig herauf! Verdunkle mir das Licht Des lieben Tages, den ich kaum gesehen, Von dem ich jetzo trauernd scheiden muß.",guenderode-udohla.xml,nein,
NERISSA.,Elpa ab.,"Geh! Such ihn! ruf ihn! denn ich muß ihn sehen, Ich muß ihn sprechen, führe ihn hierher.",guenderode-udohla.xml,nein,
NERISSA,sagt  reicht Udohla eine Kette,Nimm diese Kette und gedenke mein Wie ich der Unglücksel'gen denken werde Die durch mich errettet wissen willst.,guenderode-udohla.xml,ja,
UDOHLA.,Zimmer im Pallast.,"O süßer Ton! von solchen süßen Lippen! Jetzt bricht der Tag erst meines Lebens an, Ein Tag, belebend wie die Morgenröthe Und lind und traulich wie die Mitternacht. Zu welchem Gotte will ich jetzo wallen Von Mord-Gedanken zu entsühnen mich? O all ihr Götter! Ich hab schwer gefrevelt, Denn schöner ist das Leben als der Tod.",guenderode-udohla.xml,nein,
SULTAN.,Ab.,"So such ihn auf und laß ihn zu mir kommen, Bis dahin aber will ich einsam seyn.",guenderode-udohla.xml,nein,
SINO.,"Mangu bleibt eine Weile gedankenvoll stehn, geht dann ab.","Ich weiß, du wirst mich nimmer kennen lernen, Unmöglich ist's, was hofft ich auch darauf?",guenderode-udohla.xml,nein,
SINO.,Garten.,"So geh! Entdeck ihm, was du hast erfahren, Verschiebe seines Glückes Stunde nicht.",guenderode-udohla.xml,nein,
NERISSA.,Elpa kommt.,"Mein Schicksal, es muß jetzt entschieden werden. Entflieh ich einsam? Such ich jenen Pfad, Den alten, wohlbekannten, den ich oft betreten Beim Sternenschein, in Mitternacht gehüllt? Es sey. Ich scheide; doch mit trüber Seele. Ich suche jenes Felsen stille Kluft In der mit meinem Vater lang verborgen In einsamer Betrachtung ich gelebt; Dort soll Vergangenheit mir Zukunft werden, Die große Vorwelt will ich wieder schaun, Geschicke, die verflossen, wieder suchen, Die alten Götter neu versöhnen mir. – Am Ganges wallt der Bruder auf und nieder, Und sucht sein Grab mit lebensmüdem Blick; So sagte Achmed. Ja, ich will ihn suchen, Wie mit dem Vater theilen sein Geschick. Es schwimmt ein lieblich Bild vor meinem Auge Das ich so gerne Bruder nennen mag.",guenderode-udohla.xml,nein,
ELPA.,Beide ab. Udohla kommt.,"Komm, eh der Sultan so gestimmt dich findet, Erscheinen darfst du also nicht vor ihm.",guenderode-udohla.xml,nein,
UDOHLA.,Sino kommt.,"Nur wenig Worte hatte sie zu sagen, Warum erfüllten sie die Zeiten nicht, Die Zeiten alle bis zum letzten Tage? – Der Himmel jauchzt mir ihren Namen nach, Ihn flüstern leise alle Frühlings-Lüfte –",guenderode-udohla.xml,nein,
SINO.,"Der Sultan, Mangu und Gefolge kommen.","So hat die Ahndung dennoch mich betrogen In der du so bedeutungsvoll mir schienst! Das Schicksal wähnt ich müsse etwas meinen, Da es so wunderbar dich hergeführt. So irrt ich mich; du kamst nur um zu gehn, Du warst ein Gast in meiner Liebe nur; Und dennoch muß ich stets auf Rettung sinnen, Und ungern wie mich selbst geb ich dich auf.",guenderode-udohla.xml,nein,
SULTAN,sagt zu Mangu.,"Geh! Eile, denn ich will sie hier erwarten, Ich dulde dieses Zögern länger nicht. –",guenderode-udohla.xml,ja,
UDOHLA.,Nerissa und Mangu kommen.,"Wenn du gebietest, Herr! so muß ich sterben. Ich weiß es, und ich bin darauf gefaßt.",guenderode-udohla.xml,nein,
SULTAN,sagt ihr entgegen.,"Die Scheidewand, Geliebte! ist zerfallen, Und du bist mein. Ja Liebe du bist mein. Wie konntest du mich lang so grausam quälen, Und mir verbergen ein so wonnig Glück?",guenderode-udohla.xml,ja,
SULTAN.,Ab.,"Lebt wohl denn, ihr, die ich soll nimmer sehen, Ihr holden Augen! Anmuthsvoll Gestirn Das über meinem Leben aufgegangen! Weissagend Licht! das Wonne mir verhieß, Das all mein Schicksal schmeichlerisch gelenket Das treulos sich in Wolken nun versenket. – Nerissa, geh! Du hast mein Herzt zerrissen, Ich werde traurend zu den Todten gehn.",guenderode-udohla.xml,nein,
