ID,speaker,stage,paragraph,source_file,Sound: Ja/Nein?,Lautstärkeniveau (0;1-5),Kommentar
632,GEORG,"Achselzucken; durch den so prompt zurückerhaltnen Hieb noch
  nervös-gereizter.","Nicht eben jeder kann, seiner großzügigen, breitbasigen, edleren Charakterveranlagung entsprechend ...",holz-ignorabimus.xml,nein,,
2642,DUFROY,Achselzucken; fast verletzt.,"Ein Fall, wie er in unsrer neueren Psychopathik ...",holz-ignorabimus.xml,nein,,
100,MARIANNE,"Achselzucken; mit seinem »neuen Kurs« offenbar nicht ganz einverstanden; leicht-
  nervös unbestimmte Geste halb ebenfalls nach der Tür rechts.",Wenn er noch nicht geklingelt hat ... ich weiß es nicht.,holz-ignorabimus.xml,nein,,
442,GEORG,Achselzucken; zornig-verächtlicher Gaumen- und Nasallaut.,Hng! ...,holz-ignorabimus.xml,ja,,
2123,DUFROY,"Arm in Arm im Türrahmen mit Marianne; man merkt seinem Ton, der noch immer ein leis
  unmutiger ist, an, daß er ihr nur sehr widerwillig ihren Wunsch erfüllt hat; mit einem
  sich schnell informierenden Blick über die Anwesenden: Uexküll, gefaßt-aufrecht, etwas
  nach vorn rechts, Onkel Ludwig in seinem Sessel nach den Eintretenden halb zurückgedreht
  und Georg, Marianne und Uexküll schärfst beobachtend, ziemlich nach der Ecke zu, vor dem
  ersten, offnen Fenster links.",So! ... Da sind die Herren!,holz-ignorabimus.xml,nein,,
1994,UEXKÜLL,"Augen und Ohren wieder nach links, als erwarte er, ähnlich wie bereits wiederholt,
  daß von dorther etwas geschähe.",Nichts ... rührt sich!,holz-ignorabimus.xml,nein,,
143,ONKEL LUDWIG,Bewegung mit der Linken unbestimmt hinter sich nach oben.,Du ... warst doch aber ...,holz-ignorabimus.xml,nein,,
3549,MARIANNE,Blick nach der Uhr; sagt noch klagend-zweifelnder.,Vielleicht!,holz-ignorabimus.xml,ja,,
2514,GEORG,"Dufroy nicht beachtend; als hätte dieser sein einen Augenblick indirektes
  Zugeständnis überhaupt gar nicht erst abgelegt.","Hat diese Sitzung, diese ganze Sitzung, die uns den endgültigen, letzten, überzeugenden Abschluß bringen sollte, und auf die wir gewartet hatten, qualvoll gewartet, vierzehn Tage lang, vierzehn Tage, hat diese Sitzung überhaupt irgendwelchen Sinn und Verstand gehabt, und sie muß ihn gehabt haben, sie hat ihn gehabt, so kann das nur der gewesen sein ...",holz-ignorabimus.xml,nein,,
1884,GEORG,Dufroy noch immer anblickend; sagt hartnäckig-heftigst.,Das ist nicht wahr!,holz-ignorabimus.xml,ja,,
