speaker,stage,paragraph,source_file,Sound: Ja/Nein?,Lautstärkeniveau (0;1-5)
DER PRINZ,"sagt  an einem Arbeitstische, voller Briefschaften und Papiere, deren einige er
  durchläuft","Klagen, nichts als Klagen! Bittschriften, nichts als Bittschriften! – Die traurigen Geschäfte; und man beneidet uns noch! – Das glaub' ich; wenn wir allen helfen könnten: dann wären wir zu beneiden. – Emilia?",lessing-emilia-galotti.xml,Ja,
DER KAMMERDIENER,sagt  welcher wieder herein tritt,"Nach dem Marchese ist geschickt. Und hier, ein Brief von der Gräfin Orsina.",lessing-emilia-galotti.xml,Ja,
DER KAMMERDIENER,sagt  der nochmals herein tritt,Der Maler Conti will die Gnade haben – –,lessing-emilia-galotti.xml,Ja,
CONTI,sagt  indem er das andere zurecht stellet,"Ich bitte, Prinz, daß Sie die Schranken unserer Kunst erwägen wollen. Vieles von dem Anzüglichsten der Schönheit liegt ganz außer den Grenzen derselben. – Treten Sie so! –",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt nach einer kurzen Betrachtung.,"Vortrefflich, Conti; – ganz vortrefflich! – Das gilt Ihrer Kunst, Ihrem Pinsel. – Aber geschmeichelt, Conti; ganz unendlich geschmeichelt!",lessing-emilia-galotti.xml,Ja,
CONTI,sagt etwas ärgerlich.,"Ah, mein Prinz, – wir Maler rechnen darauf, daß das fertige Bild den Liebhaber noch eben so warm",lessing-emilia-galotti.xml,Ja,
CONTI,"sagt  indem er es holt, und noch verkehrt in der Hand hält",Auch ein weibliches Porträt.,lessing-emilia-galotti.xml,Nein,
DER PRINZ,"sagt  indem er sich zu fassen sucht, aber ohne ein Auge von dem Bilde zu
  verwenden","So halb! – um sie eben wieder zu kennen. – Es ist einige Wochen her, als ich sie mit ihrer Mutter in einer Vegghia traf. – Nachher ist sie mir nur an heiligen Stätten wieder vorgekommen, – wo das Angaffen sich weniger ziemet. – Auch kenn' ich ihren Vater. Er ist mein Freund nicht. Er war es, der sich meinen Ansprüchen auf Sabionetta am meisten widersetzte. – Ein alter Degen; stolz und rauh; sonst bieder und gut! –",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt indem er nur eben von dem Bilde wegblickt.,"Was sagen Sie, Conti? Was wollen Sie wissen?",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt mit einer erzwungenen Kälte.,"Also, Conti, rechnen Sie doch wirklich Emilia Galotti mit zu den vorzüglichsten Schönheiten unserer Stadt?",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt der sich schnell gegen ihn kehret.,"Nun, Conti? ist doch nicht schon versagt?",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt  der sich voll Verzweiflung in einen Stuhl wirft,So bin ich verloren! – So will ich nicht leben!,lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt  der gegen ihn wieder aufspringt,"Verräter! – was mir ist? – Nun ja ich liebe sie; ich bete sie an. Mögt ihr es doch wissen! mögt ihr es doch längst gewußt haben, alle ihr, denen ich der tollen Orsina schimpfliche Fesseln lieber ewig tragen sollte! – Nur daß Sie, Marinelli, der Sie so oft mich Ihrer innigsten Freundschaft versicherten – O ein Fürst hat keinen Freund! kann keinen Freund haben! – daß Sie, Sie, so treulos, so hämisch mir bis auf diesen Augenblick die Gefahr verhöhlen dürfen, die meiner Liebe drohte: wenn ich Ihnen jemals das vergebe, – so werde mir meiner Sünden keine vergeben!",lessing-emilia-galotti.xml,Ja,
CAMILLO ROTA,sagt stutzig und den Prinzen starr ansehend.,"Ein Todesurteil, sagt' ich.",lessing-emilia-galotti.xml,Ja,
CAMILLO ROTA,sagt seine Schriften nachsehend.,"Nun hab' ich es doch wohl nicht mitgenommen! – – Verzeihen Sie, gnädiger Herr. – Es kann Anstand damit haben bis morgen.",lessing-emilia-galotti.xml,Ja,
CAMILLO ROTA,"sagt  den Kopf schüttelnd, indem er die Papiere zu sich nimmt und abgeht","Recht gern? – Ein Todesurteil recht gern? – Ich hätt' es ihn in diesem Augenblicke nicht mögen unterschreiben lassen, und wenn es den Mörder meines einzigen Sohnes betroffen hätte. – Recht gern! recht gern! – Es geht mir durch die Seele dieses gräßliche Recht gern!",lessing-emilia-galotti.xml,Nein,
CLAUDIA,"sagt  im Heraustreten zu Pirro, der von der andern Seite hereintritt",Wer sprengte da in den Hof?,lessing-emilia-galotti.xml,Ja,
ANGELO,"sagt noch halb hinter der Szene, in einem kurzen Mantel, den er über das Gesicht
  gezogen, den Hut in die Stirne.",Pirro! – Pirro!,lessing-emilia-galotti.xml,Ja,
EMILIA,sagt stürzet in einer ängstlichen Verwirrung herein.,Wohl mir! wohl mir! Nun bin ich in Sicherheit. Oder ist er mir gar gefolgt?,lessing-emilia-galotti.xml,Ja,
APPIANI,"sagt  tritt tiefsinnig, mit vor sich hingeschlagnen Augen herein, und kömmt ihnen
  näher, ohne sie zu erblicken; bis Emilia ihm entgegen springt","Ah, meine Teuerste! – Ich war mir Sie in dem Vorzimmer nicht vermutend.",lessing-emilia-galotti.xml,Nein,
APPIANI,sagt nackdenkend und schwermütig.,Bedeuten Tränen – bedeuten Tränen!,lessing-emilia-galotti.xml,Ja,
APPIANI,sagt  indem er ihr mit einer niedergeschlagnen Miene nachsieht,"Perlen bedeuten Tränen! – Eine kleine Geduld! – Ja, wenn die Zeit nur außer uns wäre! – Wenn eine Minute am Zeiger, sich in uns nicht in Jahre ausdehnen könnte! –",lessing-emilia-galotti.xml,Ja,
CLAUDIA,sagt stutzig.,Bei dem Prinzen?,lessing-emilia-galotti.xml,Ja,
APPIANI,sagt nach einiger Überlegung.,Allerdings.,lessing-emilia-galotti.xml,Ja,
MARINELLI,"sagt  der sich losreißt, und abgeht","Nur Geduld, Graf, nur Geduld!",lessing-emilia-galotti.xml,Ja,
CLAUDIA,sagt eiligst und besorgt.,Gott! Herr Graf – Ich hab' einen heftigen Wortwechsel gehört. – Ihr Gesicht glühet. Was ist vorgefallen?,lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt höhnisch.,"Neugierde zur Gnüge! – Die ich nur befriedigen muß. – O, es ging alles nach Wunsch. – Sie brauchen sich nicht weiter zu bemühen, mein allzudienstfertiger Freund! – Sie kam meinem Verlangen, mehr als halbes Weges, entgegen. Ich hätte sie nur gleich mitnehmen dürfen.",lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt  der wieder nach dem Fenster geht,"Dort fährt der Wagen langsam nach der Stadt zurück. – So langsam? Und in jedem Schlage ein Bedienter? – Das sind Anzeigen, die mir nicht gefallen; – daß der Streich wohl nur halb gelungen ist; – daß man einen Verwundeten gemächlich zurückführet, – und keinen Toten. – Die Maske steigt ab. – Es ist Angelo selbst. Der Tolldreiste! – Endlich, hier weiß er die Schliche. – Er winkt mir zu. Er muß seiner Sache gewiß sein. – Ha, Herr Graf, der Sie nicht nach Massa wollten, und nun noch einen weitern Weg müssen! – Wer hatte Sie die Affen so kennen gelehrt?",lessing-emilia-galotti.xml,Ja,
ANGELO,sagt der die Maske abgenommen.,"Passen Sie auf, Herr Kammerherr! Man muß sie gleich bringen.",lessing-emilia-galotti.xml,Ja,
EMILIA,sagt außer Atem.,"Ah! – Ah! – Ich danke Ihm, mein Freund; – ich dank' Ihm. – Aber Gott, Gott! wo bin ich? – Und so ganz allein? Wo bleibt meine Mutter? Wo blieb der Graf? – Sie kommen doch nach? mir auf dem Fuße nach?",lessing-emilia-galotti.xml,Ja,
MARINELLI,"sagt  der plötzlich herzu tritt, als ob er eben herein käme","Ah, gnädiges Fräulein! Was für ein Unglück, oder vielmehr, was für ein Glück, – was für ein glückliches Unglück verschafft uns die Ehre –",lessing-emilia-galotti.xml,Ja,
EMILIA,sagt stutzend.,"Wie? Sie hier, mein Herr? – Ich bin also wohl bei Ihnen? – Verzeihen Sie, Herr Kammerherr. Wir sind von Räubern ohnfern überfallen worden. Da kamen uns gute Leute zu Hülfe; – und dieser ehrliche Mann hob mich aus dem Wagen, und brachte mich hierher. – Aber ich erschrecke, mich allein gerettet zu sehen. Meine Mutter ist noch in der Gefahr. Hinter uns ward sogar geschossen. Sie ist vielleicht tot; – und ich lebe? – Verzeihen Sie. Ich muß fort; ich muß wieder hin, – wo ich gleich hätte bleiben sollen.",lessing-emilia-galotti.xml,Ja,
EMILIA,sagt äußerst bestürzt.,Der Prinz?,lessing-emilia-galotti.xml,Ja,
EMILIA,sagt unentschlossen.,Aber – wenn ihnen nichts widerfahren – wenn meine Ahnungen mich trügen; – warum sind sie,lessing-emilia-galotti.xml,Ja,
EMILIA,sagt die vor ihm niederfällt.,"Zu Ihren Füßen, gnädiger Herr –",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt sie aufhebend.,"Ich bin äußerst beschämt. – Ja, Emilia, ich verdiene diesen stummen Vorwurf. – Mein Betragen diesen Morgen, ist nicht zu rechtfertigen; – zu entschuldigen höchstens. Verzeihen Sie meiner Schwachheit. Ich hätte Sie mit keinem Geständnisse beunruhigen sollen, von dem ich keinen Vorteil zu erwarten habe. Auch ward ich durch die sprachlose Bestürzung, mit der Sie es anhörten, oder vielmehr nicht anhörten, genugsam bestraft. – Und könnt' ich schon diesen Zufall, der mir nochmals, ehe alle meine Hoffnung auf ewig verschwindet, – mir nochmals das Glück Sie zu sehen und zu sprechen verschafft; könnt' ich schon diesen Zufall für den Wink eines günstigen Glückes erklären, – für den wunderbarsten Aufschub meiner endlichen Verurteilung erklären, um nochmals um Gnade flehen zu dürfen: so will ich doch – Beben Sie nicht, mein Fräulein – einzig und allein von Ihrem Blicke abhangen. Kein Wort, kein Seufzer, soll Sie beleidigen. – Nur kränke mich nicht Ihr Mißtrauen. Nur zweifeln Sie keinen Augenblick an der unumschränktesten Gewalt, die Sie über mich haben. Nur falle Ihnen nie bei, daß Sie eines andern Schutzes gegen mich bedürfen. – Und nun kommen Sie, mein Fräulein, – kommen Sie, wo Entzückungen auf Sie warten, die Sie mehr billigen.",lessing-emilia-galotti.xml,Ja,
BATTISTA,sagt eiligst.,"Die Mutter, Herr Kammerherr –",lessing-emilia-galotti.xml,Ja,
CLAUDIA GALOTTI,sagt innerhalb.,"Emilia! Emilia! Mein Kind, wo bist du?",lessing-emilia-galotti.xml,Ja,
CLAUDIA,"sagt  die in die Türe tritt, indem Battista heraus gehen will","Ha! der hob sie aus dem Wagen! Der führte sie fort! Ich erkenne dich. Wo ist sie? Sprich, Unglücklicher!",lessing-emilia-galotti.xml,Ja,
CLAUDIA,sagt bitter und langsam.,"Der Name Marinelli war das letzte Wort des sterbenden Grafen! – Verstehen Sie nun? – Ich verstand es erst auch nicht: ob schon mit einem Tone gesprochen – mit einem Tone! – Ich höre ihn noch! Wo waren meine Sinne, daß sie diesen Ton nicht sogleich verstanden?",lessing-emilia-galotti.xml,Ja,
EMILIA,sagt innerhalb.,"Ha, meine Mutter! Ich höre meine Mutter!",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt als aus dem Zimmer von Emilien kommend.,"Kommen Sie, Marinelli! Ich muß mich erholen – und muß Licht von Ihnen haben.",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt nachgebend.,"Nun gut, nun gut –",lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt kalt.,Schwerlich.,lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt noch kälter.,Wahrscheinlich genug.,lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt höchst gleichgültig.,Was Sie auch gemußt hätten – wenn der Graf noch lebte. –,lessing-emilia-galotti.xml,Ja,
