filename,basename,genre_selfascription,genre
benedix-unerschuetterlich.xml,benedix-unerschuetterlich,Vorspiel in einem Aufzuge,
fouque-sigurd-der-schlangentoedter.xml,fouque-sigurd-der-schlangentoedter,Ein Heldenspiel in sechs Abentheuren,
anzengruber-heimgfunden.xml,anzengruber-heimgfunden,Wiener Weihnachtskomödie in drei Akten,Komödie
anzengruber-der-gwissenswurm.xml,anzengruber-der-gwissenswurm,Bauernkomödie mit Gesang in drei Akten,Komödie
kotzebue-die-deutschen-kleinstaedter.xml,kotzebue-die-deutschen-kleinstaedter,Ein Lustspiel in vier Akten,Lustspiel
scheerbart-ruebezahl.xml,scheerbart-ruebezahl,Schauspiel in fünf Aufzügen,
nestroy-freiheit-in-kraehwinkel.xml,nestroy-freiheit-in-kraehwinkel,Posse mit Gesang in zwei Abteilungen und drei Aufzügen,
grillparzer-des-meeres-und-der-liebe-wellen.xml,grillparzer-des-meeres-und-der-liebe-wellen,Trauerspiel in fünf Aufzügen,Trauerspiel
beer-struensee.xml,beer-struensee,Trauerspiel in fünf Aufzügen,Trauerspiel
andre-der-comoedienfeind.xml,andre-der-comoedienfeind,Ein Lustspiel in einem Aufzuge,Lustspiel
zedlitz-liebe-findet-ihre-wege.xml,zedlitz-liebe-findet-ihre-wege,Lustspiel in vier Aufzügen,Lustspiel
richter-eumenides-duester.xml,richter-eumenides-duester,Trauerspiel nach Adolph Müllner's Weise,Trauerspiel
ball-die-nase-des-michelangelo.xml,ball-die-nase-des-michelangelo,Tragikomödie,Tragikomödie
kotzebue-menschenhass-und-reue.xml,kotzebue-menschenhass-und-reue,Schauspiel in fünf Aufzügen,
ruederer-die-fahnenweihe.xml,ruederer-die-fahnenweihe,Eine Komödie in drei Akten,Komödie
kurz-prinzessin-pumphia.xml,kurz-prinzessin-pumphia,Eine Parodie in lächerlichen Versen,
wedekind-fritz-schwigerling.xml,wedekind-fritz-schwigerling,Schwank in drei Aufzügen,
babo-das-winterquartier-in-amerika.xml,babo-das-winterquartier-in-amerika,Ein Original-Lustspiel in einem Aufzug,Lustspiel
klingemann-faust.xml,klingemann-faust,Ein Trauerspiel in fünf Acten,Trauerspiel
auenbrugger-der-rauchfangkehrer.xml,auenbrugger-der-rauchfangkehrer,Ein musikalisches Lustspiel in drey Aufzügen,Lustspiel
wagner-tannhaeuser.xml,wagner-tannhaeuser,Große romantische Oper in drei Akten,
hafner-der-furchtsame.xml,hafner-der-furchtsame,Ein Lustspiel in drey Aufzügen,Lustspiel
