Author,Publication Year,Title,Genre,in Verse,Number of Acts,Number of Scenes,Number of Speakers,Number of Stage Directions,Number of Stage Directions within Character Speech,Number of Stage Directions outside Character Speech
Ayrer,1605,"Fassnachtspil, wie einem Weib jhr eygener Mann vnwissenter Ding verkuppelt wird",,Yes,0,1,4,72,0,72
Borchert,1947,Draußen vor der Tür,,No,0,7,16,135,34,101
Chézy,1823,Der neue Narziß,Lustspiel,Yes,0,7,11,52,8,44
Dohm,1878,Ein Schuß in's Schwarze,Lustspiel,No,0,18,6,251,115,136
Dovsky,1915,Mona Lisa,,Yes,2,0,20,0,0,0
Ebner-Eschenbach,1862,Die Veilchen,Lustspiel,No,1,3,8,169,68,101
Günderode,1805,Udohla,,Yes,2,0,7,41,0,41
Lessing,1772,Emilia Galotti,Trauerspiel,No,5,43,13,246,121,125
Neuber,1736,Die von der Weisheit wider die Unwissenheit beschützte Schauspielkunst,,Yes,1,13,10,28,0,28
Sachs,1557,Eulenspiegel mit dem blauen Hosentuch u. dem Bauern,,Yes,0,1,4,22,0,22
Schiller,1781,Die Räuber,,No,5,15,26,544,223,321
Wedekind,1891,Frühlings Erwachen,Tragödie,No,3,19,36,102,15,87
