filename,genre_selfascription,genre
benedix-unerschuetterlich.xml,Vorspiel in einem Aufzuge,
fouque-sigurd-der-schlangentoedter.xml,Ein Heldenspiel in sechs Abentheuren,
anzengruber-heimgfunden.xml,Wiener Weihnachtskomödie in drei Akten,Komödie
anzengruber-der-gwissenswurm.xml,Bauernkomödie mit Gesang in drei Akten,Komödie
kotzebue-die-deutschen-kleinstaedter.xml,Ein Lustspiel in vier Akten,Lustspiel
scheerbart-ruebezahl.xml,Schauspiel in fünf Aufzügen,
nestroy-freiheit-in-kraehwinkel.xml,Posse mit Gesang in zwei Abteilungen und drei Aufzügen,
grillparzer-des-meeres-und-der-liebe-wellen.xml,Trauerspiel in fünf Aufzügen,Trauerspiel
beer-struensee.xml,Trauerspiel in fünf Aufzügen,Trauerspiel
andre-der-comoedienfeind.xml,Ein Lustspiel in einem Aufzuge,Lustspiel
zedlitz-liebe-findet-ihre-wege.xml,Lustspiel in vier Aufzügen,Lustspiel
richter-eumenides-duester.xml,Trauerspiel nach Adolph Müllner's Weise,Trauerspiel
ball-die-nase-des-michelangelo.xml,Tragikomödie,Tragikomödie
kotzebue-menschenhass-und-reue.xml,Schauspiel in fünf Aufzügen,
ruederer-die-fahnenweihe.xml,Eine Komödie in drei Akten,Komödie
kurz-prinzessin-pumphia.xml,Eine Parodie in lächerlichen Versen,
wedekind-fritz-schwigerling.xml,Schwank in drei Aufzügen,
babo-das-winterquartier-in-amerika.xml,Ein Original-Lustspiel in einem Aufzug,Lustspiel
klingemann-faust.xml,Ein Trauerspiel in fünf Acten,Trauerspiel
auenbrugger-der-rauchfangkehrer.xml,Ein musikalisches Lustspiel in drey Aufzügen,Lustspiel
wagner-tannhaeuser.xml,Große romantische Oper in drei Akten,
hafner-der-furchtsame.xml,Ein Lustspiel in drey Aufzügen,Lustspiel
braun-von-braunthal-das-nachtlager-von-granada.xml,Romantische Oper in zwei Aufzügen,
zedlitz-herr-und-sklave.xml,Trauerspiel in zwei Aufzügen,Trauerspiel
eckardt-die-vergiftete-traube.xml,"Ein Trauerspiel in Einem Aufzuge, Mit doppelter Katastrophe. Wie es auf
          dem Prager Nationaltheater nicht aufgeführt worden",Trauerspiel
raimund-der-barometermacher-auf-der-zauberinsel.xml,"Zauberposse mit Gesang und Tanz in zwei Aufzügen als Parodie des Märchens:
          Prinz Tutu",
scheerbart-die-puppe-und-die-dauerwurst.xml,Ein soziales Drama,
wedekind-hidalla.xml,Schauspiel in fünf Akten,
nestroy-der-zerrissene.xml,Posse mit Gesang in drei Aufzügen,
wezel-der-graf-von-wickham.xml,Ein Trauerspiel in Fünf Aufzügen,Trauerspiel
moser-krieg-oder-frieden.xml,Dramatische Bagatelle in einem Akt,
essig-der-frauenmut.xml,Lustspiel in fünf Aufzügen,Lustspiel
dehmel-die-menschenfreunde.xml,Drama in drei Akten,
schnitzler-die-letzten-masken.xml,Schauspiel in einem Akt,
cronegk-der-misstrauische.xml,Ein Lustspiel in fünf Aufzügen,Lustspiel
hagemann-ludwig-der-springer.xml,Schauspiel in fünf Aufzügen,
sturz-julie.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
bretzner-belmont-und-constanze.xml,Eine Operette in drey Akten,
frech-von-ehrimfeld-die-gefahr.xml,Eine dramatische Situation,
freytag-graf-waldemar.xml,Schauspiel in fünf Akten,
schlegel-dueval-und-charmille.xml,"Ein bürgerlich Trauerspiel in fünf Aufzügen. Von einem
          Frauenzimmer",Trauerspiel
busoni-doktor-faust.xml,,
tieck-der-abschied.xml,Ein Trauerspiel in zwei Aufzügen,Trauerspiel
benkowitz-die-jubelfeier-der-hoelle.xml,Ein Drama zum Anfang des neunzehnten Jahrhunderts,
wolfram-faust.xml,Ein dramatisches Gedicht in drei Abschnitten,
wedekind-die-zensur.xml,Theodizee in einem Akt,
engelke-wala.xml,,
lenz-der-hofmeister.xml,Eine Komödie,Komödie
weissenthurn-johann-herzog-von-finnland.xml,"Schauspiel in fünf Aufzügen, nach der Geschichte, mit den nöthigen
          theatralischen Änderungen",
seemann-dulk-die-waende.xml,Eine politische Komödie in einem Akte,Komödie
hauptmann-carl-gaukler-tod-und-juwelier.xml,Spiel in fünf Akten,
kotzebue-die-alten-liebschaften.xml,Lustspiel in Einem Akt,Lustspiel
laddey-maentelchen-nach-dem-winde.xml,Lustspiel in einem Akt,Lustspiel
lenz-die-freunde-machen-den-philosophen.xml,Eine Komödie,Komödie
seume-miltiades.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
schnitzler-das-weite-land.xml,Tragikomödie in fünf Akten,Tragikomödie
schiller-don-carlos-infant-von-spanien.xml,Ein dramatisches Gedicht,
halm-der-sohn-der-wildnis.xml,Dramatisches Gedicht in fünf Akten,
thoma-erster-klasse.xml,Bauernschwank in einem Akt,
schiller-die-verschwoerung-des-fiesco-zu-genua.xml,Ein republikanisches Trauerspiel,Trauerspiel
hebbel-gyges-und-sein-ring.xml,Eine Tragödie in fünf Akten,Tragödie
arnim-halle.xml,Ein Studentenspiel in drei Aufzügen,
maler-mueller-golo-und-genovefa.xml,Ein Schauspiel in fünf Aufzügen,
sachs-ein-comedi-von-dem-reichen-sterbenden-menschen-der-hecastus-genannt.xml,hat neunzehen personen und 5 actus zu spielen,
gryphius-carolus-stuardus.xml,Trauerspiel,Trauerspiel
laube-die-karlsschueler.xml,,
lessing-der-junge-gelehrte.xml,Ein Lustspiel in drei Aufzügen,Lustspiel
fock-cili-cohrs.xml,Irnsthaftig Spill,
schlegel-die-entfuehrte-dose.xml,Ein Lustspiel in einem Aufzuge,Lustspiel
koerner-die-blumen.xml,Ein Spiel in Versen,
iffland-der-spieler.xml,Ein Schauspiel in fünf Aufzügen,
hofmannsthal-der-abenteurer-und-die-saengerin.xml,In einem Aufzug (mit einer Verwandlung),
hebbel-siegfrieds-tod.xml,Ein Trauerspiel in fünf Akten,Trauerspiel
lessing-der-freigeist.xml,Ein Lustspiel in fünf Aufzügen,Lustspiel
reinhardt-die-braut-des-echos.xml,Lustspiel in einem Akte,Lustspiel
heyne-die-beiden-billets.xml,Ein Lustspiel in einem Akt,Lustspiel
anonym-die-weiber-list.xml,Ein Lustspiel in einer Handlung,Lustspiel
wallenrodt-noch-jemands-ankunft-auf-st-helena.xml,Nachspiel in Einem Akt,
kaltneker-die-opferung.xml,Eine Tragödie in vier Akten,Tragödie
gottschedin-die-pietisterey-im-fischbein-rocke.xml,,
sorge-odysseus.xml,Dramatische Phantasie,
barlach-der-blaue-boll.xml,Drama,
hauptmann-carl-musik.xml,Spiel in vier Akten,
kaiser-die-koralle.xml,Schauspiel in fünf Akten,
dohm-die-ritter-vom-goldenen-kalb.xml,Lustspiel in 1 Akt,Lustspiel
auffenberg-der-loewe-von-kurdistan.xml,"Ein romantisches Schauspiel in fünf Acten. Nach W. Scott's Talisman
          bearbeitet",
schiller-wallensteins-lager.xml,,
gutzkow-richard-savage.xml,Trauerspiel in fünf Aufzügen,Trauerspiel
brentano-die-gruendung-prags.xml,Ein historisch-romantisches Drama,
maler-mueller-fausts-leben-dramatisiert.xml,,
anonym-der-von-der-liebe-betrogene-philosoph.xml,"Ein Lustspiel von einem Aufzuge aus dem Französischen des Herrn Saintfoix
          übersezt",Lustspiel
wagner-siegfried.xml,,
leisewitz-der-besuch-um-mitternacht.xml,,
wildgans-armut.xml,Ein Trauerspiel in fünf Akten,Trauerspiel
goethe-die-mitschuldigen.xml,Ein Lustspiel in einem Akte,Lustspiel
klemm-der-besuch.xml,Ein Lustspiel in einem Aufzuge,Lustspiel
gottschedin-das-testament.xml,Ein deutsches Lustspiel in fünf Aufzügen,Lustspiel
zschokke-abellino.xml,Schauspiel in 5 Aufzügen,
hauptmann-florian-geyer.xml,Die Tragödie des Bauernkrieges,Tragödie
costenoble-die-katze-laesst-das-mausen-nicht.xml,Lustspiel in einem Aufzuge. Fortsetzung des Bauerngutes,Lustspiel
kraus-traumstueck.xml,,
schaefer-faustine-der-weibliche-faust.xml,Tragödie in sechs Aufzügen nebst Vorspiel und Prolog,Tragödie
bodmer-odoardo-galotti-vater-der-emilia.xml,"Ein Pendant zu Emilia. In einem Aufzuge und Epilogus zur Emilia
          Galotti",
lessing-der-misogyn.xml,Ein Lustspiel in drei Aufzügen,Lustspiel
wolf-professor-mamlock.xml,Ein Schauspiel,
kleist-amphitryon.xml,Ein Lustspiel nach Molière,Lustspiel
gerhaeuser-der-moloch.xml,Musikalische Tragödie in drei Aufzügen,Tragödie
wagner-das-rheingold.xml,,
hartleben-hanna-jagert.xml,Komödie,Komödie
