filename,author,title,year,stage_count,stage_word_count,stage_avg_words,word_count_l_p,stage_per_1k_words,stage_words_per_1k
achat-ein-april-scherz.xml,,Ein April-Scherz,1842,123,406,3.3008,6022,20.4251,67.4195
adolph-am-ersten-mai.xml,Adolph,Am ersten Mai,1919,156,996,6.3846,6298,24.7698,158.1454
alberti-brot.xml,Alberti,Brot!,1888,368,1759,4.7799,26475,13.8999,66.44
alberti-im-suff.xml,Alberti,Im Suff,1890,239,4012,16.7866,9629,24.8209,416.658
alexander-die-verpfaendung.xml,Alexander,Die Verpfändung,1779,160,738,4.6125,5968,26.8097,123.6595
andre-cremeri-die-leiden-des-jungen-werthers.xml,André,Die Leiden des Jungen Werthers,1776,180,1300,7.2222,6046,29.7717,215.0182
andre-der-comoedienfeind.xml,André,Der Comödienfeind,1765,89,551,6.191,5027,17.7044,109.6081
angely-prinz-tu-ta-tu.xml,Angely,Prinz Tu-Ta-Tu,1836,191,880,4.6073,6647,28.7348,132.3906
anonym-amalie-und-charlotte-baronessen-von-habenichts.xml,,"Amalie und Charlotte Baronessen von Habenichts: oder die ungleichen
          Schwestern",1754,87,479,5.5057,7797,11.1581,61.4339
anonym-das-ehrenmaal-des-patrioten.xml,,Das Ehrenmaal des Patrioten,1774,7,8,1.1429,1018,6.8762,7.8585
anonym-das-lustlager.xml,,Das Lustlager,1778,18,72,4.0,4796,3.7531,15.0125
anonym-das-muenchner-spiel-vom-sterbenden-menschen.xml,,Das Münchner Spiel vom sterbenden Menschen,1510,137,1127,8.2263,14251,9.6134,79.0822
anonym-das-urtheil-des-paris.xml,,Das Urtheil des Paris,1752,12,104,8.6667,1705,7.0381,60.9971
anonym-der-deutsche-student.xml,,Der deutsche Student,1779,56,307,5.4821,4847,11.5535,63.3381
anonym-der-von-der-liebe-betrogene-philosoph.xml,,Der von der Liebe betrogene Philosoph,1750,146,525,3.5959,7473,19.537,70.2529
anonym-die-gedruckten-theater-regeln.xml,,"Die gedruckten Theater-Regeln, oder: Welcher Stand ist beßer?",1779,44,135,3.0682,6581,6.6859,20.5136
anonym-die-gespenster.xml,,Die Gespenster,1770,26,149,5.7308,2631,9.8822,56.6325
anonym-die-grands-von-frankreich-in-ihrer-wahren-gestalt.xml,,Die Grands von Frankreich in ihrer wahren Gestalt,1814,53,354,6.6792,1969,26.9172,179.7867
anonym-die-verhandelte-braut.xml,,Die verhandelte Braut,1760,17,59,3.4706,2355,7.2187,25.0531
anonym-die-weiber-list.xml,,Die Weiber-List,1743,49,169,3.449,3437,14.2566,49.1708
anonym-emilie-oder-die-philosophisch-verliebten.xml,,Emilie oder die Philosophisch-Verliebten,1770,49,205,4.1837,12294,3.9857,16.6748
anzengruber-das-vierte-gebot.xml,Anzengruber,Das vierte Gebot,1878,545,4090,7.5046,15484,35.1976,264.1436
anzengruber-der-gwissenswurm.xml,Anzengruber,Der Gwissenswurm,1874,359,2269,6.3203,14401,24.9288,157.5585
anzengruber-der-meineidbauer.xml,Anzengruber,Der Meineidbauer,1871,421,2752,6.5368,20340,20.6981,135.2999
anzengruber-der-pfarrer-von-kirchfeld.xml,Anzengruber,Der Pfarrer von Kirchfeld,1871,415,2472,5.9566,18904,21.953,130.766
anzengruber-die-kreuzelschreiber.xml,Anzengruber,Die Kreuzelschreiber,1872,550,3828,6.96,14797,37.1697,258.7011
anzengruber-heimgfunden.xml,Anzengruber,Heimg'funden,1885,570,4309,7.5596,21620,26.3645,199.3062
arnim-das-loch.xml,Arnim,Das Loch oder Das wiedergefundene Paradies,1813,56,245,4.375,6241,8.9729,39.2565
arnim-halle.xml,Arnim,Halle,1811,367,2562,6.9809,44030,8.3352,58.1876
arnim-jerusalem.xml,Arnim,Jerusalem,1811,188,1724,9.1702,26630,7.0597,64.739
arnim-marino-caboga.xml,Arnim,Marino Caboga,1826,117,714,6.1026,14409,8.1199,49.5524
auenbrugger-der-rauchfangkehrer.xml,Auenbrugger,"Der Rauchfangkehrer oder Die unentbehrlichen Verräther ihrer Herrschaften
          aus Eigennutz",,542,3190,5.8856,12111,44.7527,263.3969
auffenberg-der-loewe-von-kurdistan.xml,Auffenberg,Der Löwe von Kurdistan,1827,363,3322,9.1515,17804,20.3887,186.5873
avenarius-faust.xml,Avenarius,Faust,1919,428,3534,8.257,21862,19.5773,161.6504
ayrenhoff-der-postzug.xml,Ayrenhoff,Der Postzug oder die noblen Passionen,1769,116,582,5.0172,12820,9.0484,45.3978
ayrenhoff-virginia.xml,Ayrenhoff,Virginia oder Das abgeschaffte Decemvirat,1790,132,906,6.8636,14938,8.8365,60.6507
ayrer-comedia-von-der-schoenen-sidea.xml,Ayrer,"Comedia von der schönen Sidea, wie es ihr biss zu jrer Verheüratung
          ergangen",1618,281,1544,5.4947,8255,34.04,187.0382
ayrer-comedia-von-zweyen-bruedern-auss-syracusa.xml,Ayrer,Comedia von zweyen Brüdern auss Syracusa,1618,259,1022,3.9459,7462,34.7092,136.9606
ayrer-fassnachtspil-wie-einem-weib-jhr-eygener-mann.xml,Ayrer,"Fassnachtspil, wie einem Weib jhr eygener Mann vnwissenter Ding
          verkuppelt wird",1618,72,282,3.9167,3349,21.499,84.2042
ayrer-tragedia-thesei.xml,Ayrer,"Tragedia Thesei des zehenten Königs zu Athen, von den vierzehen
          Tributkindern",1618,431,1916,4.4455,17615,24.4678,108.7709
babo-arno.xml,Babo,Arno,1776,214,1061,4.9579,7121,30.052,148.9959
babo-das-fraeulein-wohlerzogen.xml,Babo,Das Fräulein Wohlerzogen,1783,90,431,4.7889,8012,11.2332,53.7943
babo-das-winterquartier-in-amerika.xml,Babo,Das Winterquartier in Amerika,1778,95,494,5.2,4901,19.3838,100.7958
babo-die-maler.xml,Babo,Die Maler,1783,101,462,4.5743,6132,16.471,75.3425
baeuerle-die-buerger-in-wien.xml,Bäuerle,Die Bürger in Wien,1820,265,1203,4.5396,14422,18.3747,83.4142
baeuerle-doktor-fausts-mantel.xml,Bäuerle,Doktor Faust's Mantel,1819,414,2670,6.4493,14654,28.2517,182.2028
baggesen-der-vollendete-faust.xml,Baggesen,Der vollendete Faust oder Romanien in Jauer,1836,1056,5911,5.5975,39026,27.0589,151.4631
bahr-das-konzert.xml,Bahr,Das Konzert,1909,1853,11389,6.1462,28076,65.9994,405.649
bahr-das-phantom.xml,Bahr,Das Phantom,1913,1579,10805,6.8429,22951,68.7987,470.7856
ball-die-nase-des-michelangelo.xml,Ball,Die Nase des Michelangelo,1911,140,518,3.7,9526,14.6966,54.3775
barlach-der-blaue-boll.xml,Barlach,Der blaue Boll,1926,346,1996,5.7688,19169,18.05,104.1265
bauernfeld-buergerlich-und-romantisch.xml,Bauernfeld,Bürgerlich und Romantisch,1837,310,1015,3.2742,16030,19.3387,63.3188
bauernfeld-grossjaehrig.xml,Bauernfeld,Großjährig,1846,347,1306,3.7637,11205,30.9683,116.5551
bauernfeld-industrie-und-herz.xml,Bauernfeld,Industrie und Herz,1847,309,1214,3.9288,13078,23.6275,92.8276
beer-der-paria.xml,Beer,Der Paria,1826,130,672,5.1692,5566,23.3561,120.733
beer-struensee.xml,Beer,Struensee,1829,447,2741,6.132,27632,16.1769,99.1966
